Numero;Nimi;Pullokoko;Hinta;Litrahinta;Tyyppi;Luonnehdinta;Pakkaustyyppi;ProsAlkohol;EurPerLAlkohol
27002;Pasquale Pelissero Bricco San Giuliano Barbaresco DOCG 14%;-;22,79;30,39;-;-;-;14;217,07142857142858
27001;Olivero Mario Langhe Arneis DOC 13% 75cl;-;11,99;15,99;-;-;-;13;123,0
27003;Tempus III Cava Brut Rose 12% 75cl;-;3,99;5,32;-;-;-;12;44,333333333333336
27000;Conte di Campiano Nero dAvola 13,5% 75cl;-;7,69;10,25;-;-;-;13,5;75,92592592592592
27006;Vol 5 5% 24x33cl;-;9,99;1,26;-;-;-;5;25,2
27013;Nemiroff Delikat 40% 50cl;-;6,99;13,98;-;-;-;40;34,95
27014;Vana Tallinn Ice Cream 16% 50cl;-;6,49;12,98;-;-;-;16;81,125
27012;Viru Valge 40% 50cl KLAAS;-;6,09;12,18;-;-;-;40;30,45
27009;Baron Rosen Alazani Red 11,5% 75cl;-;4,49;5,99;-;-;-;11,5;52,08695652173913
27015;Bacardi Apple 32% 100cl;-;16,89;16,89;-;-;-;32;52,78125
27024;Nikka All Malt 40% 70cl;-;27,49;39,27;-;-;-;40;98,17500000000001
27025;Laplandia Banana Shot Vodka 37,5% 70cl;-;14,99;21,41;-;-;-;37,5;57,093333333333334
27028;Tullamore Dew 40% 450cl;-;118,59;26,35;-;-;-;40;65,875
27023;Deanston 12YO 40% 70cl;-;41,59;59,41;-;-;-;40;148,525
27026;Greenalls London Dry Gin 40% 100cl;-;15,99;15,99;-;-;-;40;39,975
27033;Cosmopolitan Diva Melon 6% 75cl;-;2,99;3,99;-;-;-;6;66,5
27021;Crafters Gin 38% 100cl;-;11,79;11,79;-;-;-;38;31,026315789473685
27031;Jim Beam Devils Cut 45% 70cl;-;17,75;25,36;-;-;-;45;56,355555555555554
27035;Billecart-Salmon Brut Rose 12% 75cl BOX;-;59,99;79,99;-;-;-;12;666,5833333333333
27029;Jim Beam Honey 35% 70cl;-;14,79;21,13;-;-;-;35;60,371428571428574
27030;Jim Beam Apple 35% 70cl;-;13,49;19,27;-;-;-;35;55,05714285714286
